Model,Brand,Product Category,Description,Dealer Ex GST, RRP Inc. GST 
EZ 5-10 MK2,inDESIGN,Speakers - Ceiling Mount,"EZ Fit 5.25"" coaxially loaded 2 Way Speaker with Silk Dome Tweeter. 100V with new Ez-TAP selector, taps at 10w, 5w, 2.5w,and 1.25w and 8 ohm setting, 88dB SPL 1w/1m. New Ez-BLOCK speaker terminals with 22uF inline supervisory capacitor, 1kg",37.74,62
EZ P-6020 BK,inDESIGN,Speakers - Pendants,"EZ Pendant hanging speaker, 6.5"" polypropoleyne cone driver and 1"" silk dome HF. Taps at 100V 20/10/5/2.5W. 22UF/100V non -polar capacitor. Comes with gripple. Black",183.83,302
EZ P-6020 WH,inDESIGN,Speakers - Pendants,"EZ Pendant hanging speaker, 6.5"" polypropoleyne cone driver and 1"" silk dome HF. Taps at 100V 20/10/5/2.5W. 22UF/100V non-polar capacitor. Comes with gripple. White",183.83,302
EZFIT-8,inDESIGN,Speakers - Ceiling Mount,"EZFIT 8"" coaxially loaded 2 Way Speaker. White Magnetic frame-less grill. 100V taps at 30w, 15w, 7.5w, 3.75ww and 1.875w and 8 ohm setting. 87dB SPL 1w/1m. New Ez-BLOCK speaker terminals with 22uF inline supervisory capacitor.",81.57,134
EZFIT-8GRILL-B,inDESIGN,Speakers - Ceiling Mount,EZFIT-8 Magnetic Frame-less grill BLACK.,15.22,25
ID-BGM4 BK,inDESIGN,Speakers - Surface Mount,"inDESIGN 4"" IP46 100v installation speaker. Weatherproof. 16?/40W/20W/10W Black. Includes U-Bracket, priced per each, boxed in pairs.",136.96,225
ID-BGM4 UB BK,inDESIGN,Speakers - Surface Mount,inDESIGN U bracket for ID-BGM 4. Black,20.09,33
ID-BGM4 UB WH,inDESIGN,Speakers - Surface Mount,inDESIGN U bracket for ID-BGM 4. White,20.09,33
ID-BGM4 WB BK,inDESIGN,Speakers - Surface Mount,inDESIGN Articulated Wall bracket for ID-BGM 4. Rear mount. Black,21.91,36
ID-BGM4 WB WH,inDESIGN,Brackets/Rigging,inDESIGN Articulated Wall bracket for ID-BGM 4. Rear mount. White,21.91,36
ID-BGM4 WH,inDESIGN,Speakers - Surface Mount,"inDESIGN 4"" IP46 100v installation speaker. Weatherproof. 16?/40W/20W/10W White. Includes U-Bracket, priced per each, boxed in pairs.",136.96,225
ID-BGM6 BK V2,inDESIGN,Speakers - Surface Mount,"inDESIGN 6"" IP46 100v installation speaker. Weatherproof. 16?/80W/40W/20W Black. Includes U-Bracket, priced per each, boxed in pairs.",251.39,413
ID-BGM6 WH V2,inDESIGN,Speakers - Surface Mount,"inDESIGN 6"" IP46 100v installation speaker. Weatherproof. 16?/80W/40W/20W White. Includes U-Bracket, priced per each, boxed in pairs.",251.39,413
ID-BGM6/8 SWB BK,inDESIGN,Speakers - Surface Mount,inDESIGN Swivel Wall bracket for ID-BGM 6 & 8 V2. Black,31.65,52
ID-BGM6/8 SWB WH,inDESIGN,Speakers - Surface Mount,inDESIGN Swivel Wall bracket for ID-BGM 6 & 8 V2. White,31.65,52
ID-BGM8 BK,inDESIGN,Speakers - Surface Mount,"inDESIGN 8"" IP46 100v installation speaker. Weatherproof. 16?/150W/75W/37.5W Black. Includes U-Bracket, priced per each, boxed in pairs.",328.7,540
ID-BGM8 WH,inDESIGN,Speakers - Surface Mount,"inDESIGN 8"" IP46 100v installation speaker. Weatherproof. 16?/150W/75W/37.5W White. Includes U-Bracket, priced per each, boxed in pairs.",328.7,540
IDH10-1,inDESIGN,Speakers - Horn Speakers,"10 watt, 100v line round paging horn, maximum SPL 120dB, taps at 10, 5, 2.5 and 1.25 watts with off and 8 ohm selection also, ABS construction, IP66 rated, white",69.39,114
iDH30-1,inDESIGN,Speakers - Horn Speakers,"30 watt 100v line round paging horn, maximum SPL 122dB, taps at 30,15 and 7.5 watts, ABS construction, IP66 rated, white",131.48,216
iD-HC1200,inDESIGN,Amplifier - Install,"2 Channel Class H power amplifier. 2 x 1200 watts @ 8ohms, 2 x 1850 watts @ 4 ohms. 3900 watts bridge mode @ 8 ohms. NOTE: 15 amp mains power plug fitted",1505.91,"2,474.00"
iD-HC600,inDESIGN,Amplifier - Install,"2 Channel Class H power amplifier. 2 x 600 watts @ 8ohms, 2 x 900 watts @ 4 ohms. 1800 watts bridge mode @ 8 ohms. ",788.26,"1,295.00"
iD-HC800,inDESIGN,Amplifier - Install,"2 Channel Class H power amplifier. 2 x 800 watts @ 8ohms, 2 x 1200 watts @ 4 ohms. 2400 watts bridge mode @ 8 ohms. ",911.83,"1,498.00"
iD-HP108,inDESIGN,Loudspeakers - Point Source,"8” 2-way passive speaker. Compact, high output design suitable for mobile and permanent sound installations.High SPL output with a smooth neutral sonic character, multiple installation options. Timber construction. 150 Watts RMS, 115dB SPL cont, 8 Ohms 90x50 dispersion with rotatable horn. Sold each. Black ",328.7,540
iD-HP108W,inDESIGN,Loudspeakers - Point Source,"8” 2-way passive speaker. Compact, high output design suitable for mobile and permanent sound installations.High SPL output with a smooth neutral sonic character, multiple installation options. Timber construction. 150 Watts RMS, 115dB SPL cont, 8 Ohms 90x50 dispersion with rotatable horn. Sold each. White",328.7,540
iD-HP110,inDESIGN,Loudspeakers - Point Source,"10” 2-way passive speaker. Compact, high output design suitable for mobile and permanent sound installations.High SPL output with a smooth neutral sonic character, multiple installation options. Timber construction. 250 Watts RMS, 119dB SPL cont, 8 Ohms 90x50 dispersion with rotatable horn. Sold each. Black ",476.61,783
iD-HP110W,inDESIGN,Loudspeakers - Point Source,"10” 2-way passive speaker. Compact, high output design suitable for mobile and permanent sound installations.High SPL output with a smooth neutral sonic character, multiple installation options. Timber construction. 250 Watts RMS, 119dB SPL cont, 8 Ohms 90x50 dispersion with rotatable horn. Sold each. White ",476.61,783
iD-HP112,inDESIGN,Loudspeakers - Point Source,"12” 2-way passive speaker. Compact, high output design suitable for mobile and permanent sound installations.High SPL output with a smooth neutral sonic character, multiple installation options. Timber construction. 300 Watts RMS, 122dB SPL cont, 8 Ohms 90x40 dispersion with rotatable horn. Sold each. Black",622.09,"1,022.00"
iD-HP112W,inDESIGN,Loudspeakers - Point Source,"12” 2-way passive speaker. Compact, high output design suitable for mobile and permanent sound installations.High SPL output with a smooth neutral sonic character, multiple installation options. Timber construction. 300 Watts RMS, 122dB SPL cont, 8 Ohms 90x40 dispersion with rotatable horn. Sold each. White",622.09,"1,022.00"
iD-HP15SUB,inDESIGN,Loudspeakers - Point Source,"15” front-loaded bass reflex subwoofer. Compact, high output design suitable for mobile and permanent sound installations. High SPL output Timber construction. 600 Watts RMS, 126dB SPL cont, 8 ohms. Black",754.17,"1,239.00"
iD-HP15SUBW,inDESIGN,Loudspeakers - Point Source,"15” front-loaded bass reflex subwoofer. Compact, high output design suitable for mobile and permanent sound installations. High SPL output Timber construction. 600 Watts RMS, 126dB SPL cont, 8 ohms. White",754.17,"1,239.00"
iD-HP18SUB,inDESIGN,Loudspeakers - Point Source,"18” front-loaded bass reflex subwoofer. Compact, high output design suitable for mobile and permanent sound installations. High SPL output Timber construction. 600 Watts RMS, 128dB SPL cont, 8 ohms. Black",849.13,"1,395.00"
iD-HP18SUBW,inDESIGN,Loudspeakers - Point Source,"18” front-loaded bass reflex subwoofer. Compact, high output design suitable for mobile and permanent sound installations. High SPL output Timber construction. 600 Watts RMS, 128dB SPL cont, 8 ohms. White",849.13,"1,395.00"
iD-LTX30,inDESIGN,Speakers - Pendants,"inDESIGN 30 Watt 100V transformer. Pri 4ohms Sec 100V @ 30,15,7.5,3.75 watts. Suits TC-110B & Q6",24.35,40
ID-MH1512 WH,inDESIGN,Speakers - Horn Speakers,"inDESIGN 12"" 200W two-way middle-long distance speaker. Accurate 80° x 80° constant directivity. Durable, IP56 rated and UV stable cabinet for all weather conditions. 100v taps at 200w/100w/50w/8 ohms (300w), 98dB 1w/1m sensitivity, 410x368x377mm, white, each",622.09,"1,022.00"
ID-MH158 WH,inDESIGN,Speakers - Horn Speakers,"inDESIGN 8""  150W two-way middle-long distance speaker. Accurate 100° x 100° constant directivity. Durable, IP56 rated and UV stable cabinet for all weather conditions. 100v taps at 150w/75w/37.5w/8 ohms, 96dB 1w/1m sensitivity, 410x368x377mm, white, each",423.04,695
iD-PCS4-V2,inDESIGN,Speakers - Ceiling Mount,"inDesign 4 inch Premium ceiling speaker with sealed backcan. Tapping @ 20, 10, 5 & 2.5 watts 70V/100V. 8? Bypass. SPL 86dB 1w/1m. Supervisory capacitor. Cut-out diameter 163mm. Only 100mm deep! Both Black and White magnetic grills included. ",130.26,214
iD-PCS6-V2,inDESIGN,Speakers - Ceiling Mount,"inDesign 6.5 inch Premium ceiling speaker with sealed backcan. Tapping @ 40, 20, 10 & 5 watts 70V/100V. 8? Bypass. SPL 87dB 1w/1m. Supervisory capacitor. Cut-out diameter 269mm. Only 100mm deep!Both Black and White magnetic grills included. ",166.78,274
iD-PCS8-V2,inDESIGN,Speakers - Ceiling Mount,"inDesign 6.5 inch Premium ceiling speaker with sealed backcan. Tapping @ 40, 20, 10 & 5 watts 70V/100V. 8? Bypass. SPL 87dB 1w/1m. Supervisory capacitor. Cut-out diameter 269mm. Only 100mm deep!Both Black and White magnetic grills included. ",201.48,331
ID-PS30,inDESIGN,Speakers - Horn Speakers,"30 watt. Full Range projector speaker,  Taps at 30,15,  7.5 & 3.8 watts. ABS construction, IP66 weather rated.",124.78,205
IDR-111-530,inDESIGN,Microphones - Wireless,inDESIGN Single channel antenna diversity wireless receiver. 530-580Mhz 16 channel agile half rack space unit. Plastic carry case and rack mount kit included.,161.91,266
IDR-111-640,inDESIGN,Microphones - Wireless,inDESIGN Single channel antenna diversity wireless receiver. 640-690 Mhz 16 channel agile half rack space unit. Plastic carry case and rack mount kit included.,161.91,266
IDR-18U-660,inDESIGN,Rack Accessories,"inDESIGN 600 X 600 Floor Standing Rack 18U, includes glass door and castors, pre-assembled, not flat packed! Save your time!",811.39,"1,333.00"
IDR-18U-6DOOR,inDESIGN,Rack Accessories,inDESIGN 600mm perforated steel door for IDR 18RU Rack,140,230
IDR-222-530,inDESIGN,Microphones - Wireless,inDESIGN Dual channel antenna diversity wireless receiver. 530-580Mhz 16 channel agile half rack space unit. Plastic carry case and rack mount kit included.,210,345
IDR-222-640,inDESIGN,Microphones - Wireless,inDESIGN Dual channel antenna diversity wireless receiver. 640-690 Mhz 16 channel agile half rack space unit. Plastic carry case and rack mount kit included.,210,345
IDR-27U-660,inDESIGN,Rack Accessories,"inDESIGN 600 X 600 Floor Standing Rack 27U, includes glass door and castors, pre-assembled, not flat packed! Save your time!",811.39,"1,333.00"
IDR-27U-6DOOR,inDESIGN,Rack Accessories,inDESIGN 600mm perforated steel door for IDR 27RU Rack,158.87,261
IDR-CS-1RU,inDESIGN,Rack Accessories,inDESIGN Universal Cantilever Rack Shelf 1U,52.35,86
IDR-CS-2RU,inDESIGN,Rack Accessories,inDESIGN Universal Cantilever Rack Shelf 2U,63.3,104
IDR-CS-3RU,inDESIGN,Rack Accessories,inDESIGN Universal Cantilever Rack Shelf 3U,77.91,128
IDR-CS-4RU,inDESIGN,Rack Accessories,inDESIGN Universal Cantilever Rack Shelf 4U,88.87,146
IDR-DR-2RU,inDESIGN,Rack Accessories,inDESIGN Lockable Rack Mount Drawer 2U,99.83,164
IDR-M6SET-20PACK,inDESIGN,Rack Accessories,inDESIGN M6 Cage Nut Screw Washer 20 Pack,19.48,32
IDR-PR12-2RU,inDESIGN,Rack Accessories,inDESIGN 12-Way Horizontal Power Rail 2U AU,103.48,170
IDR-SS-600,inDESIGN,Rack Accessories,inDESIGN 350mm Sliding Shelf for 600mm Deep Cabinets,73.65,121
IDRW-12U-660,inDESIGN,Rack Accessories,"inDESIGN 600 X 660 deep, hinged wall mount rack with glass door 12U, flat pack. LHS Hinge",494.87,813
IDRW-6U-655,inDESIGN,Rack Accessories,"inDESIGN 600 X 550, hinged wall mount rack with glass door 6U, flat pack. LHS Hinge.",371.3,610
IDRW-RHS-HPACK,inDESIGN,Rack Accessories,inDESIGN Hinge pack to convert standard LHS hinge's to RHS. ,73.65,121
iD-S9920-ARC,inDESIGN,Speakers - Soundbars,"Active 2.0 Sound Bar, Bluetooth compatible for wireless music streaming. 4 full range speakers and 2 HF devices, 80W maximum output. 3.5mm jack in, USB in, OPTICAL in, HDMI input with ARC IR remote control. 108x15x19cm",205.74,338
iD-SM30-B,inDESIGN,Speakers - Surface Mount,"inDesign surface mount compact size speaker pair. UV stable ABS cabinet rated IP65, 5.25"" 2 way speaker, 100v with power taps at 30, 15, 7.5 and 3.75 watts or 8 ohms, ships with pan and tilt u-bracket system. Sold as a pair. Black",150.96,248
iD-SM30-W,inDESIGN,Speakers - Surface Mount,"inDesign surface mount compact size speaker pair. UV stable ABS cabinet rated IP65, 5.25"" 2 way speaker, 100v with power taps at 30, 15, 7.5 and 3.75 watts or 8 ohms, ships with pan and tilt u-bracket system. Sold as a pair. White",150.96,248
iD-SM50-B,inDESIGN,Speakers - Surface Mount,"inDesign surface mount compact size speaker pair. UV stable ABS cabinet rated IP65, 6.5"" 2 way speaker, 100v with power taps at 50, 30, 15 and 7.5 watts or 8 ohms, ships with pan and tilt u-bracket system. Sold as a pair. Black",189.91,312
iD-SM50-W,inDESIGN,Speakers - Surface Mount,"inDesign surface mount compact size speaker pair. UV stable ABS cabinet rated IP65, 6.5"" 2 way speaker, 100v with power taps at 50, 30, 15 and 7.5 watts or 8 ohms, ships with pan and tilt u-bracket system. Sold as a pair. White",189.91,312
iD-SMA50-B,inDESIGN,Speakers - Surface Mount,"Active two-way stereo speaker system, one powered and one passive speaker. Supplied with adjustable mounting
brackets. Treble, Bass and Volume controls. Unbalanced stereo RCA, balanced stereo inputs. 5.25” bass driver, 1” piezo high frequency tweeter, 2 x 25 watts RMS. Auto standby feature. Remote control included. Black.
",254.43,418
iD-SMA50-W,inDESIGN,Speakers - Surface Mount,"Active two-way stereo speaker system, one powered and one passive speaker. Supplied with adjustable mounting
brackets. Treble, Bass and Volume controls. Unbalanced stereo RCA, balanced stereo inputs. 5.25” bass driver, 1” piezo high frequency tweeter, 2 x 25 watts RMS. Auto standby feature. Remote control included. White
",254.43,418
IDT-BP1-530,inDESIGN,Microphones - Wireless,inDESIGN Beltpack transmitter. 530-580 Mhz. Electrett omni lapel microphone included. Accepts 2 x AA batteries,121.74,200
IDT-BP1-640,inDESIGN,Microphones - Wireless,inDESIGN Beltpack transmitter. 640-690 Mhz. Electrett omni lapel microphone included. Accepts 2 x AA batteries,121.74,200
iD-TB-PCS6.8-EZF8,inDESIGN,Speakers - Ceiling Mount,"inDESIGN tile bridge to suit iD-PCS6, iD-PCS8, EZFIT-8 ceiling speakers",26.78,44
iD-TB-PCS6.8-EZF8,inDESIGN,Speakers - Ceiling Mount,"inDESIGN tile bridge to suit iD-PCS6, iD-PCS8, EZFIT-8 ceiling speakers",26.78,44
IDT-HM1-530,inDESIGN,Microphones - Wireless,inDESIGN Handheld microphone transmitter. 530-580 Mhz. Cardioid dynamic capsule. Accepts 2 x AA batteries.,154.61,254
IDT-HM1-640,inDESIGN,Microphones - Wireless,inDESIGN Handheld microphone transmitter. 640-690 Mhz. Cardioid dynamic capsule. Accepts 2 x AA batteries.,154.61,254
IDTX-526,inDESIGN,Microphones - Gooseneck / Desktop,"Heavy duty, dynamic desktop microphone with base. On/off/lock switch, 2 metre cable with XLR 3pin male",59.04,97
MCA-1150,inDESIGN,Amplifier - Install,"inDESIGN Power Amplifier. Class D - 1 x 150W RMS @ 100V, 4/8 Ohms. Balanced XLR inputs with XLR Link, 80HPF Filter (switchable), Mute & Standby dry contacts. 2RU",427.91,703
MCA-21000,inDESIGN,Amplifier - Install,"inDESIGN Multi Channel Power Amplifier. Class D - 2 x 1000W RMS @ 100V, 4/8 Ohms. Balanced XLR inputs with XLR Link, 80HPF Filter (switchable), Mute & Standby dry contacts. 2RU",1527.83,"2,510.00"
MCA-2150,inDESIGN,Amplifier - Install,"inDESIGN Multi Channel Power Amplifier. Class D - 2 x 150W RMS @ 100V, 4/8 Ohms. Balanced XLR inputs with XLR Link, 80HPF Filter (switchable), Mute & Standby dry contacts. 2RU",577.04,948
MCA-2300,inDESIGN,Amplifier - Install,"inDESIGN Multi Channel Power Amplifier. Class D - 2 x 300W RMS @ 100V, 4/8 Ohms. Balanced XLR inputs with XLR Link, 80HPF Filter (switchable), Mute & Standby dry contacts. 2RU",729.83,"1,199.00"
MCA-2500,inDESIGN,Amplifier - Install,"inDESIGN Multi Channel Power Amplifier. Class D - 2 x 500W RMS @ 100V, 4/8 Ohms. Balanced XLR inputs with XLR Link, 80HPF Filter (switchable), Mute & Standby dry contacts. 2RU",1283.13,"2,108.00"
MCA-4150,inDESIGN,Amplifier - Install,"inDESIGN Multi Channel Power Amplifier. Class D - 4 x 150W RMS @ 100V, 4/8 Ohms. Balanced XLR inputs with XLR Link, 80HPF Filter (switchable), Mute & Standby dry contacts. 2RU",962.35,"1,581.00"
MCA-4300,inDESIGN,Amplifier - Install,"inDESIGN Multi Channel Power Amplifier. Class D - 4 x 300W RMS @ 100V, 4/8 Ohms. Balanced XLR inputs with XLR Link, 80HPF Filter (switchable), Mute & Standby dry contacts. 2RU",1068.87,"1,756.00"
MMA-120,inDESIGN,Mixer Amplifier,"Multimedia Mixer Amplifier. 120 Watts RMS @100V, 70V & 8 OHMS 1 MONO Output. 6 Input channels. 3 x Balanced Mic/Line inputs with 24v phantom power  (Chan 1 VOX priority), 3 x Unbalanced Line inputs. Transformer Isolated Paging input, tone generator on board. Multimedia player built in featuring: DAB+/FM Radio, USB Media playback, BT Streaming (BT ID renamable). 1RU",469.91,772
MMA-240,inDESIGN,Mixer Amplifier,"Multimedia Mixer Amplifier. 240 Watts RMS @100V, 70V & 8 OHMS 1 MONO Output. 6 Input channels. 3 x Balanced Mic/Line inputs with 24v phantom power  (Chan 1 VOX priority), 3 x Unbalanced Line inputs. Transformer Isolated Paging input, tone generator on board. Multimedia player built in featuring: DAB+/FM Radio, USB Media playback, BT Streaming (BT ID renamable). 1RU",672,"1,104.00"
MMA-500,inDESIGN,Mixer Amplifier,"Multimedia Mixer Amplifier. 500 Watts RMS @100V, 70V & 8 OHMS 1 MONO Output. 6 Input channels. 3 x Balanced Mic/Line inputs with 24v phantom power  (Chan 1 VOX priority), 3 x Unbalanced Line inputs. Transformer Isolated Paging input, tone generator on board. Multimedia player built in featuring: DAB+/FM Radio, USB Media playback, BT Streaming (BT ID renamable). 2RU",840,"1,380.00"
MM-MIX,inDESIGN,Mixer - Strip Mixer,"Multimedia Mixer. 1 x Balanced Momo Output 1 x Unbalanced Mono Ouptut. 6 Input channels. 3 x Balanced Mic/Line inputs with 24v phantom power  (Chan 1 VOX priority), 3 x Unbalanced Line inputs. Transformer Isolated Paging input, tone generator on board. Multimedia player built in featuring: DAB+/FM Radio, USB Media playback, BT Streaming (BT ID renamable). 1RU",309.83,509
MMP-1,inDESIGN,Source Units - Source Units / Players,"inDESIGN Multi Media Player. USB and Bluetooth playback. 3.5mm stereo, mono balanced line inputs. Balanced line outputs. Clipsal 2000 style mounting plate. Renamable Bluetooth ID. Includes POE power supply and audio patch cables. ",247.13,406
MP60D,inDESIGN,Mixer Amplifier,"60 watt,100v line mixer amp with built in FM tuner and DAB radio, MP3 player and Bluetooth receiver. Also operates on 24VDC as well as 240VAC.",371.3,610
MPA-240,inDESIGN,Mixer Amplifier,"Multimedia 6 Zone Mixer Amplifier. 240 Watts RMS @100V, 70V & 8 OHMS 1 MONO Output + 6 Global Zone Outputs with adjustable volume . 6 Input channels. 3 x Balanced Mic/Line inputs with 24v phantom power  (Chan 1 VOX priority), 3 x Unbalanced Line inputs. Transformer Isolated Paging input, tone generator on board. Multimedia player built in featuring: DAB+/FM Radio, USB Media playback, BT Streaming (BT ID renamable). 2RU",878.35,"1,443.00"
MPA-500,inDESIGN,Mixer Amplifier,"Multimedia 6 Zone Mixer Amplifier. 500 Watts RMS @100V, 70V & 8 OHMS 1 MONO Output + 6 Global Zone Outputs with adjustable volume . 6 Input channels. 3 x Balanced Mic/Line inputs with 24v phantom power  (Chan 1 VOX priority), 3 x Unbalanced Line inputs. Transformer Isolated Paging input, tone generator on board. Multimedia player built in featuring: DAB+/FM Radio, USB Media playback, BT Streaming (BT ID renamable). 2RU",1069.48,"1,757.00"
SL100C-BP,inDESIGN,Installation Accessories,100 watt attenuator with relay bypass on Clipsal series 2000 plate,65.13,107
SL25C-BP,inDESIGN,Installation Accessories,25 watt attenuator with relay bypass on Clipsal series 2000 plate,49.3,81
SL50C-BP,inDESIGN,Installation Accessories,50 watt attenuator with relay bypass on Clipsal series 2000 plate,52.35,86
